subject,negLL,Fitted αʳʷ,Fitted αᶜᵏ,Fitted βʳʷ,Fitted βᶜᵏ,BIC,optimal_init_params,Q_init,CK_init,group
422,1316.513950185388,0.01,0.0445580078509118,1.150429880421814,1.150606722154235,2665.554023213193,"(0.0, 0.5, 0.1, 0.1)","[[0.6264552254621015, 0.9997399755376006], [0.9999992879433186, 0.0006642419228524159], [0.39166598363931604, 0.9999999980408425], [0.9999999999999994, 0.0]]","[[0.0025223088756611525, 0.9974776911243388], [0.9026192995972525, 0.09738070040274754], [0.002415223231659227, 0.9975847767683408], [0.8902964551196288, 0.10970354488037116]]",Easy
441,918.5859013946072,0.01,0.25,0.1,2.5500000000000003,1867.9566533466,"(0.0, 0.25, 0.1, 2.5500000000000003)","[[0.7371007678667302, 0.995805377016749], [0.9999999242883062, 7.654082175813221e-05], [0.3015997061464895, 0.9999999999715239], [0.9999999999999994, 0.0]]","[[4.48475103695971e-09, 0.999999995515249], [0.9730880071274108, 0.026911992872589146], [3.3335027721364027e-15, 0.9999999999999967], [0.9984353204724586, 0.0015646795275413498]]",Easy
532,2422.555570387532,0.01,0.0754999816801873,1.1131313766739872,1.113246865593219,4878.846387104972,"(0.0, 0.5, 0.1, 0.1)","[[0.031274485138356775, 0.9999819086150101], [0.1408844022376704, 0.9997866142498321], [0.9994658867448012, 0.042178030663886784], [0.9999999999999994, 0.0]]","[[0.2590378781718716, 0.7409621218281283], [0.21950927266933143, 0.7804907273306685], [0.8021474742895265, 0.19785252571047346], [0.8416317423450286, 0.15836825765497134]]",Easy
849,1412.1440663763274,0.01,0.25,0.1,2.5500000000000003,2857.4643313130628,"(0.0, 0.25, 0.1, 2.5500000000000003)","[[0.2269875870745428, 0.9999175942075839], [0.13533299466074125, 0.9999999704418371], [0.9999993041798758, 0.004575771239577829], [0.9999999999999994, 0.0]]","[[0.02608529974281308, 0.9739147002571868], [0.1414178029847335, 0.8585821970152663], [0.9994051460620402, 0.0005948539379597346], [0.9664897177335083, 0.03351028226649171]]",Easy
4151,2084.4382458705886,0.01,0.2228185105482887,1.1233175203721557,1.123253081232552,4202.398318412548,"(0.25, 0.5, 0.1, 0.1)","[[0.007814528062880124, 0.9998815315800901], [0.9997040669994562, 0.20027702093766733], [0.05588568098351079, 0.998991323968167], [0.9999999999999994, 0.0]]","[[0.4588309978426739, 0.5411690021573261], [0.9999577559713039, 4.224402869615596e-05], [0.4546194375129432, 0.5453805624870569], [0.8267846998752347, 0.1732153001247653]]",Easy
4152,1759.515782510114,0.01,0.25,0.1,2.5500000000000003,3551.673638010138,"(0.0, 0.25, 0.1, 2.5500000000000003)","[[0.19540621732390187, 0.9995265476657139], [0.4564746218511871, 0.9989685732308253], [0.9889994147451947, 0.05309315566125256], [0.9999999999999994, 0.0]]","[[0.220245940458407, 0.779754059541593], [0.0812827386146706, 0.9187172613853294], [0.7519396969330903, 0.24806030306690968], [0.9341395785444382, 0.06586042145556172]]",Easy
4154,718.1303138259865,0.01,0.01,2.5500000000000003,0.1,1466.01416177215,"(0.0, 0.0, 2.5500000000000003, 0.1)","[[0.529135734693051, 0.9788513728516341], [0.948773986774878, 0.5633235635436789], [0.8253336216709477, 0.9432243986277818], [0.9999999999999994, 0.0]]","[[0.038426912246540004, 0.9615730877534603], [0.7981758649141807, 0.20182413508581926], [0.09267694820666866, 0.9073230517933312], [0.8454828622326198, 0.15451713776738024]]",Easy
5091,2489.694433696078,0.01,0.25,0.1,2.5500000000000003,5013.614523010434,"(0.0, 0.25, 0.1, 2.5500000000000003)","[[0.006716660792013262, 0.9999916682934233], [0.9999968562113339, 0.07323225734536538], [0.0801668250445114, 0.9999963360582831], [0.9999999999999994, 0.0]]","[[0.8041702357687409, 0.19582976423125914], [0.9835961836355492, 0.016403816364450742], [0.642094453320863, 0.35790554667913704], [0.9894411894884293, 0.010558810511570751]]",Easy
5354,1186.3099174836527,0.01,0.25,0.1,2.5500000000000003,2405.1459578097224,"(0.0, 0.25, 0.1, 2.5500000000000003)","[[0.29674572742396443, 0.9997677161375319], [0.9999999569789073, 0.0034847079350601023], [0.07778579017386437, 0.999999997885231], [0.9999999999999994, 0.0]]","[[0.0025056489394046366, 0.9974943510605951], [0.8339396141941252, 0.16606038580587482], [8.109002217440562e-24, 0.9999999999999998], [0.7241730069414545, 0.2758269930585455]]",Easy
6832,2440.7407698027528,0.01,0.0666622583107201,1.9335752524592755,0.7566118956686868,4915.707195223784,"(0.25, 1.0, 0.1, 1.3250000000000002)","[[0.24232097905029665, 0.9999954679457865], [0.9999999999508185, 2.4319380933997852e-05], [0.03377702687274661, 0.9999999999999692], [0.9999999999999994, 0.0]]","[[2.3149474111030966e-09, 0.9999999976850525], [0.8553557087191237, 0.14464429128087608], [0.020731532334442075, 0.979268467665558], [0.9312322645547344, 0.06876773544526558]]",Easy
6833,502.2697799510893,0.01,0.25,0.1,2.5500000000000003,1033.9876021072175,"(0.0, 0.25, 0.1, 2.5500000000000003)","[[0.19723516693920343, 0.9648002681027297], [0.9320653478611496, 0.9400424434946525], [0.8805467870719136, 0.4520436502664617], [0.9999999999999994, 0.0]]","[[0.879899263381958, 0.12010073661804195], [0.4685011951777127, 0.5314988048222873], [0.9391386786622071, 0.06086132133779286], [0.8951084356282335, 0.10489156437176646]]",Easy
6951,1059.132778177615,0.01,0.0692499954431771,1.662254680278586,1.6622546802784883,2150.015055139883,"(1.0, 1.0, 0.1, 0.1)","[[0.2541934636590157, 0.99818087120528], [0.8600583545989895, 0.9998306451765727], [0.9988842591773559, 0.1313134793282845], [0.9999999999999994, 0.0]]","[[0.00010856300681143767, 0.9998914369931887], [1.5918803250962904e-08, 0.9999999840811968], [0.9154674921519537, 0.08453250784804647], [0.9199582459715783, 0.08004175402842163]]",Easy
8012,1303.0295013380637,0.0481711061238692,0.1032651101813002,1.2413757045070957,1.2420793102754435,2637.8085014607805,"(0.25, 0.5, 0.1, 0.1)","[[0.07298297289943467, 0.9999999999995605], [0.9999999996799798, 0.00013154806983103757], [0.11954934171447384, 0.9999999999987923], [0.9999999999999994, 0.0]]","[[0.006070453279384926, 0.9939295467206151], [0.8324115962922586, 0.16758840370774145], [0.011719941284614665, 0.9882800587153853], [0.8649239734483036, 0.13507602655169643]]",Easy
8332,3870.504408818756,0.01,0.01,0.1,2.5500000000000003,7777.056375370521,"(0.0, 0.0, 0.1, 2.5500000000000003)","[[0.1223610913694173, 0.9999999956111999], [0.9999999999999944, 6.14805803097988e-08], [0.02517690560890997, 0.9999999999999944], [0.9999999999999994, 0.0]]","[[0.0008469198716807522, 0.9991530801283195], [0.9059079212644574, 0.09409207873554248], [0.0020675275600093687, 0.9979324724399904], [0.9226061225649116, 0.07739387743508823]]",Easy
8451,1314.691429165291,0.01,0.25,0.1,2.5500000000000003,2661.132357115235,"(0.0, 0.25, 0.1, 2.5500000000000003)","[[0.5028449100919035, 0.9990342716510554], [0.9999999999999944, 3.170446028043166e-09], [0.0205923657647581, 0.9999999999999944], [0.9999999999999994, 0.0]]","[[2.6471107495587827e-51, 0.9999999999999998], [0.9570052583087927, 0.0429947416912074], [0.0005946022649017116, 0.9994053977350983], [0.4929615556749341, 0.507038444325066]]",Easy
422,2440.041985585683,0.01,0.0918902087171575,1.3243463884365794,1.3243463723525084,4914.309626789644,"(0.75, 0.75, 0.1, 0.1)","[[0.14505175174775597, 0.9999999860592612], [0.3446121833475158, 0.9999806798646782], [0.9983922532581355, 0.004307997790385184], [0.9999999999999994, 0.0]]","[[4.8485413554283606e-05, 0.9999515145864457], [0.006810402187322716, 0.9931895978126772], [0.996523979861153, 0.0034760201388469554], [0.9932469049336291, 0.0067530950663709155]]",Hard
441,2700.2347863544765,0.01,0.25,0.1,2.5500000000000003,5434.9916602158455,"(0.0, 0.25, 0.1, 2.5500000000000003)","[[0.1347513159574383, 0.9999977831348877], [0.20434346174623844, 0.9999999999165041], [0.9999990436288958, 2.052102255762095e-05], [0.9999999999999994, 0.0]]","[[4.474640248356911e-07, 0.9999995525359752], [0.005939316004514694, 0.9940606839954851], [0.227341503488872, 0.772658496511128], [0.8943197369502088, 0.10568026304979121]]",Hard
532,718.3009026331031,0.0234208245331466,0.0975439148936939,2.0149396891233344,0.9923824290291732,1466.1128408991176,"(1.0, 0.75, 1.3250000000000002, 0.1)","[[0.3793240718701354, 0.9994080603361479], [0.9956712086486491, 0.18152525695045785], [0.44673830945576815, 0.9980823898996696], [0.9999999999999994, 0.0]]","[[0.01538486105864117, 0.9846151389413589], [0.9480346706442019, 0.05196532935579805], [8.852964213317306e-05, 0.9999114703578669], [0.8793162665220341, 0.12068373347796592]]",Hard
849,2056.1288606755534,0.01,0.25,0.1,2.5500000000000003,4145.433919911515,"(0.0, 0.25, 0.1, 2.5500000000000003)","[[0.05890928689193216, 0.9996134493342793], [0.9999887175905936, 0.010455199540810114], [0.05358944465632326, 0.999997997381524], [0.9999999999999994, 0.0]]","[[0.01958268477654197, 0.9804173152234581], [0.8592553318727154, 0.14074466812728467], [0.3263587908830686, 0.6736412091169315], [0.999999974795517, 2.5204482998527625e-08]]",Hard
4151,2466.115824696969,0.01,0.25,0.1,2.5500000000000003,4966.533497792098,"(0.0, 0.25, 0.1, 2.5500000000000003)","[[0.016691655948002017, 0.999941256334177], [0.09811266040399427, 0.9999314865380713], [0.9999436429897329, 0.12362878655457428], [0.9999999999999994, 0.0]]","[[0.05059937732606189, 0.9494006226739382], [4.468489484241667e-05, 0.9999553151051574], [0.9999404501514264, 5.954984857372372e-05], [0.9500089656504566, 0.049991034349543384]]",Hard
4152,1780.7059142093506,0.01,0.25,1.3250000000000002,1.3250000000000002,3594.053901408611,"(0.0, 0.25, 1.3250000000000002, 1.3250000000000002)","[[0.038275581985667426, 0.9999358759034102], [0.9968221627291061, 0.18479190234809018], [0.22367606755375158, 0.997805861268387], [0.9999999999999994, 0.0]]","[[0.4218433926939752, 0.5781566073060248], [0.9859202071133191, 0.014079792886680919], [0.044494880857536834, 0.9555051191424632], [0.9994053977614448, 0.0005946022385552154]]",Hard
4154,878.9851539011258,0.015893188231826,0.1182568149788057,1.5632701294356224,1.563308945494466,1788.9329654099206,"(0.75, 0.5, 0.1, 0.1)","[[0.4737900600634739, 0.9996361322873794], [0.862974228699067, 0.9992332708506111], [0.9941396232540977, 0.11292507978495965], [0.9999999999999994, 0.0]]","[[3.77259154383807e-11, 0.9999999999622741], [2.3189151855112554e-11, 0.9999999999768109], [0.985116379468889, 0.014883620531111022], [0.9823496201320341, 0.017650379867965846]]",Hard
5091,495.5521082833387,0.01,0.25,2.5500000000000003,0.1,1018.4621223195928,"(0.0, 0.25, 2.5500000000000003, 0.1)","[[0.47218706846595204, 0.9249153964873245], [0.6645273898162074, 0.9997750242463134], [0.998413278033702, 0.09518942736706862], [0.9999999999999994, 0.0]]","[[0.5630373204653445, 0.43696267953465556], [0.259853442056978, 0.740146557943022], [0.9547125680798186, 0.045287431920181434], [0.9999206301777173, 7.93698222827212e-05]]",Hard
5354,1349.9520329216605,0.01,0.25,0.1,2.5500000000000003,2732.430188685738,"(0.0, 0.25, 0.1, 2.5500000000000003)","[[0.5815277009752148, 0.9997816287764565], [0.651303294758865, 0.9999998648209691], [0.9999857633732077, 0.006569774712212904], [0.9999999999999994, 0.0]]","[[6.199554808680631e-41, 0.9999999999999998], [3.55836423668468e-58, 0.9999999999999998], [0.9523182762946147, 0.04768172370538518], [0.8989254458537616, 0.10107455414623845]]",Hard
6832,1045.6419215357864,0.0128627800719329,0.2408538266615349,1.328499608286258,1.3285416304689586,2123.033341856226,"(0.0, 0.25, 1.3250000000000002, 1.3250000000000002)","[[0.4124943781511519, 0.9997529924399594], [0.651303294758865, 0.9999999999365536], [0.999999941186279, 0.0007860767422436409], [0.9999999999999994, 0.0]]","[[1.5825251679044525e-22, 0.9999999999999998], [5.056982662602376e-129, 0.9999999999999998], [0.7389101662042359, 0.2610898337957641], [0.44759952704247574, 0.5524004729575243]]",Hard
6833,2881.308126584724,0.0100005805816602,0.2500004398345911,0.100002873585995,2.5500014367929977,5797.278705955586,"(0.0, 0.25, 0.1, 2.5500000000000003)","[[0.13623177769785325, 0.9999981406369046], [0.9998707261714839, 0.004957335033084158], [0.5929483291690346, 0.9999976389998355], [0.9999999999999994, 0.0]]","[[4.540378703247639e-20, 0.9999999999999999], [0.6490598917468406, 0.35094010825315936], [1.0678065107560426e-12, 0.9999999999989323], [0.7190287608322765, 0.2809712391677236]]",Hard
6951,2807.7501783844605,0.01,0.25,1.3250000000000002,1.3250000000000002,5650.556569846312,"(0.0, 0.25, 1.3250000000000002, 1.3250000000000002)","[[0.2932364507630151, 0.9999998266249549], [0.9999999505839553, 5.498889764098178e-06], [0.25235295257414636, 0.9999999999982601], [0.9999999999999994, 0.0]]","[[1.9637928051233548e-42, 0.9999999999999998], [0.5610379949654268, 0.4389620050345732], [2.58317075685974e-30, 0.9999999999999998], [0.9981128475276664, 0.0018871524723335655]]",Hard
8012,668.2983173566231,0.01,0.0722160163141745,1.7287498475039114,1.7336896677206324,1367.381485270632,"(0.0, 0.75, 0.1, 0.1)","[[0.3632043436768493, 0.9950468813167374], [0.9320653018480071, 0.9876240755078952], [0.9138483774868109, 0.10317013030139743], [0.9999999999999994, 0.0]]","[[0.006561532715970406, 0.9934384672840296], [0.010496785148144897, 0.9895032148518551], [0.9691680461215538, 0.030831953878446318], [0.9347849890935434, 0.06521501090645654]]",Hard
8332,3047.3007012888665,0.01,0.25,0.1,2.5500000000000003,6130.016064289883,"(0.0, 0.25, 0.1, 2.5500000000000003)","[[0.26198178477572065, 0.9999999606856939], [0.5099857210480873, 0.999999998227596], [0.9999810522985219, 4.105542672923569e-05], [0.9999999999999994, 0.0]]","[[3.409683056940572e-21, 0.9999999999999998], [2.5113358982270927e-05, 0.9999748866410179], [0.7671707909246209, 0.23282920907537913], [0.7961686862056896, 0.2038313137943104]]",Hard
8451,1686.3412358807382,0.0257432349349916,0.1645665058682804,1.1842996084808524,1.1844027977192475,3406.4177180913853,"(0.25, 0.5, 0.1, 0.1)","[[0.05455470074410405, 0.9999999999959516], [0.3027098963323606, 0.9999999999999979], [0.9999999999999879, 1.4305561561270016e-07], [0.9999999999999994, 0.0]]","[[0.0003643644282647804, 0.9996356355717352], [2.646523724759031e-08, 0.9999999735347628], [0.7205569288739965, 0.27944307112600353], [0.9987177600413055, 0.0012822399586945369]]",Hard
