subject,negLL,Fitted Î±,Fitted Î²,BIC,optimal_init_params,group
4151.0,2082.026529306885,0.1293214198570639,2.512021458299519,4180.813971949456,"(0.16666666666666666, 1.7333333333333336)",Easy
4152.0,1730.9842311214015,0.0322394158296084,2.8764330734254515,3478.289498737758,"(0.6666666666666666, 2.5500000000000003)",Easy
4154.0,687.7781619571659,0.0368943818383465,3.0242704546322776,1390.4330909744206,"(1.0, 0.9166666666666667)",Easy
5091.0,2537.927056065493,0.0839216251844436,2.843099630060128,5092.9669399401255,"(0.8333333333333333, 5.0)",Easy
5354.0,1259.8620289349033,0.137023566079495,3.01356763684194,2535.987119291015,"(0.16666666666666666, 2.5500000000000003)",Easy
6832.0,2480.1577554485166,0.01,3.205158880715352,4977.428338706172,"(1.0, 3.366666666666667)",Easy
6833.0,581.5509593618799,0.065110367105919,3.1367625425017245,1177.8259398262792,"(0.5, 2.5500000000000003)",Easy
6951.0,1203.604312628083,0.0144894110741454,3.5072194414248425,2423.0833746484927,"(0.16666666666666666, 3.366666666666667)",Easy
8012.0,1278.2391050165434,0.0404595937075218,2.6762137879729795,2572.352959425413,"(0.16666666666666666, 2.5500000000000003)",Easy
8332.0,3757.708617149933,0.01,3.002224137214664,7533.441013166371,"(0.16666666666666666, 4.183333333333334)",Easy
8451.0,1234.4601311243737,0.01,3.5193987953348844,2484.795011641074,"(0.0, 5.0)",Easy
849.0,1506.2020408213657,0.0135702306613511,3.338998177085589,3028.9921809229354,"(0.0, 5.0)",Easy
422.0,1352.5811595307791,0.0275838697377587,2.875701619226291,2721.4253804827667,"(0.8333333333333333, 2.5500000000000003)",Easy
441.0,932.3116444485316,0.0366262121719928,3.4105954342231537,1880.015714175756,"(0.0, 3.366666666666667)",Easy
532.0,2551.5953890129167,0.0401529443858834,2.4780312128862265,5120.058401190788,"(0.8333333333333333, 4.183333333333334)",Easy
4151.0,2490.7753781472657,0.1438531433297571,2.467827686318353,4998.701680493612,"(0.8333333333333333, 4.183333333333334)",Hard
4152.0,1762.0626339881417,0.0744755686687988,2.782509027349356,3540.4463044712384,"(0.8333333333333333, 2.5500000000000003)",Hard
4154.0,854.9993224064573,0.0111956709082946,4.1843196611869775,1725.479973616749,"(0.0, 4.183333333333334)",Hard
5091.0,438.71518707773146,0.0811786192604268,2.68258537335892,891.1093270319207,"(0.8333333333333333, 2.5500000000000003)",Hard
5354.0,1400.6983636605928,0.0663110303006459,2.973388303878884,2817.659788742394,"(0.3333333333333333, 4.183333333333334)",Hard
6832.0,1223.869140129677,0.0265092115974662,3.3939040864739347,2463.61302965168,"(0.0, 3.366666666666667)",Hard
6833.0,2854.733634791349,0.0173327311929148,2.9257501827369143,5726.798495975768,"(0.0, 3.366666666666667)",Hard
6951.0,2721.2021438127995,0.01,3.2065644082798945,5459.932394164294,"(0.6666666666666666, 2.5500000000000003)",Hard
8012.0,746.0727791730941,0.0282396204372686,3.9445087233066496,1507.537983624881,"(0.8333333333333333, 2.5500000000000003)",Hard
8332.0,3056.44314014085,0.01,3.3018785741007446,6130.593611137775,"(0.8333333333333333, 0.9166666666666667)",Hard
8451.0,1801.5584995277995,0.0100016200180142,3.26819943523436,3619.984622220553,"(0.6666666666666666, 1.7333333333333336)",Hard
849.0,1946.6380134180688,0.0599812697779127,2.5340653191093088,3909.864126116343,"(0.16666666666666666, 5.0)",Hard
422.0,2584.6014240916347,0.0431600034651171,3.1209952559780305,5186.315675992409,"(1.0, 1.7333333333333336)",Hard
441.0,2748.36197168886,0.01,3.4443915564397805,5513.984987131166,"(0.3333333333333333, 3.366666666666667)",Hard
532.0,713.2473331736071,0.0374072282212342,2.728521741171549,1441.25018416367,"(0.6666666666666666, 5.0)",Hard
